gene	module	module_membership	kWithin	kTotal	kWithin_quantile	is_hub
AGFG2	blue	0.840771165298583	92.1601606822656	140.052129186501	0.773318872017354	TRUE
TRBC2	blue	0.827193269293156	92.0178572226218	126.274683783385	0.772234273318872	TRUE
PTPN7	blue	0.827415433614289	91.8611017649536	132.499305036831	0.77114967462039	TRUE
AC133644.2	blue	0.796428514552316	91.8383036469698	120.072610076075	0.770065075921909	TRUE
SOCS1	blue	0.791623861356673	91.7047974905996	139.04809590036	0.768980477223427	TRUE
SLC25A17	blue	0.869984711711691	91.3437232925839	141.018909769728	0.767895878524946	TRUE
MTX3	blue	0.873072379457586	90.8882069264116	145.404576029233	0.765726681127983	TRUE
KLHL36	blue	0.871010033613835	90.5670295194801	130.968535569802	0.764642082429501	TRUE
ORC5	blue	0.86018662549191	90.5421403482662	138.812572469301	0.76355748373102	TRUE
ZAP70	blue	0.773400505571077	90.3133097547259	118.337561932362	0.762472885032538	TRUE
SGTB	blue	0.8501969325224	90.1248064556324	111.464115582725	0.761388286334056	TRUE
CARNMT1	blue	0.882482359773859	89.5079321297704	112.820421916297	0.760303687635575	TRUE
DNMT3A	blue	0.833113054055748	89.4647218092529	115.557064831552	0.759219088937093	TRUE
ZNF701	blue	0.855012341479807	89.3500891932773	151.383572514131	0.758134490238612	TRUE
PITPNC1	blue	0.879713516410848	89.0701130998805	122.009936484782	0.75704989154013	TRUE
CEP19	blue	0.770436242422525	89.0424007208983	121.177287702745	0.755965292841649	TRUE
AL162493.1	blue	0.826719360859209	89.0363446460166	145.991622781697	0.754880694143167	TRUE
WDR54	blue	0.855425215510005	88.1623820421135	161.57420768128	0.753796095444686	TRUE
AC233976.1	blue	0.825213489418249	87.8554532164768	132.012250242221	0.750542299349241	TRUE
MAP9	brown	0.967613141473746	100.568473549931	165.337870143649	1	TRUE
METTL16	brown	0.959814591212448	90.7700572340494	166.444080954274	0.998263888888889	TRUE
RAB11FIP3	brown	0.965447994331405	90.5317078040513	178.06633209143	0.996527777777778	TRUE
CLEC2D	brown	0.909159349176552	88.9913298612509	197.269582133707	0.994791666666667	TRUE
GOLGA8B	brown	0.912280714844217	88.8083643859427	162.323000707007	0.993055555555556	TRUE
AC010168.2	brown	0.932354171591414	88.3938207752149	194.714230576706	0.991319444444444	TRUE
PRPF39	brown	0.959720648719095	88.3542299491598	151.789259620559	0.989583333333333	TRUE
AL683807.1	brown	0.94220639056824	88.2919426617268	162.787145958461	0.987847222222222	TRUE
KIAA0355	brown	0.901985524433785	88.1878720554448	165.015595757962	0.986111111111111	TRUE
PRKACB	brown	0.903372122475123	88.0066334436043	161.14670417907	0.984375	TRUE
RRP1B	brown	0.944063328451314	87.0976904241315	171.603426484456	0.982638888888889	TRUE
DDHD2	brown	0.964285843280109	86.6401448944318	155.244306056394	0.980902777777778	TRUE
CASP8AP2	brown	0.912843393646435	86.3872276917798	175.279149074486	0.979166666666667	TRUE
ACAP1	brown	0.892086754273862	85.7415695193042	169.553544936144	0.977430555555556	TRUE
LINC01135	brown	0.92994331291201	85.6629961585969	151.840807970693	0.975694444444444	TRUE
TNRC6C	brown	0.866977103354929	84.8346100984391	181.683858623815	0.973958333333333	TRUE
FAM117A	brown	0.939139256567499	84.3188512704475	159.374254917933	0.972222222222222	TRUE
KLF9	brown	0.929218807362063	83.9884248091482	168.666974329088	0.970486111111111	TRUE
BEX2	brown	0.902606345346544	83.1549841455947	185.683882460175	0.96875	TRUE
DZIP3	brown	0.935506784437379	82.8883057513062	151.268800887851	0.967013888888889	TRUE
RNF43	brown	0.919094626283453	82.8746264623491	147.079019549662	0.965277777777778	TRUE
METTL4	brown	0.915610200887571	81.9043147573747	157.179020534278	0.963541666666667	TRUE
EPB41	brown	0.958346171552955	81.8700778970911	211.474364398045	0.961805555555556	TRUE
KIF2A	brown	0.940402221593056	81.6379475027151	154.222241606269	0.960069444444444	TRUE
C12orf65	brown	0.879899088045302	81.5882516206468	142.757855803982	0.958333333333333	TRUE
AKT3	brown	0.884650824151331	81.4694431683078	153.486208405749	0.956597222222222	TRUE
ZNF737	brown	0.914346713626954	81.3188928776992	138.718044245423	0.954861111111111	TRUE
AC087854.1	brown	0.956925378308045	80.8016685899957	129.466667307984	0.953125	TRUE
SLC38A1	brown	0.879244879239592	80.6362860251572	135.691238014307	0.951388888888889	TRUE
NAE1	brown	0.924022454580654	79.8918620710682	160.092462306604	0.949652777777778	TRUE
SCAI	brown	0.930090310345293	79.8771291439437	161.435830708803	0.947916666666667	TRUE
STK17A	brown	0.889222274377554	79.6120476645428	170.823508896629	0.946180555555556	TRUE
GTPBP3	brown	0.935463209536273	79.5502112533475	181.546246993942	0.944444444444444	TRUE
DBF4	brown	0.947198089030508	77.8754068822275	128.840883947022	0.942708333333333	TRUE
PCED1B	brown	0.875778290924968	77.7566179464718	201.119444416159	0.940972222222222	TRUE
SEPTIN1	brown	0.861734429434915	77.699145541596	159.853050316006	0.939236111111111	TRUE
PPP1R13B	brown	0.892211689342896	77.579163511055	137.276971859678	0.9375	TRUE
GOLGA8A	brown	0.885653937285433	77.3814101129515	158.186453746685	0.935763888888889	TRUE
